"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"The Tennessee Holler",,https://TNHoller.com,"Justin Kanew",Yes,Memphis,TN,"United States",English,,LLC,LLC,2019,1,81-90,0-10,0-10,11-20,"Newsletters, Originally-reported articles, Podcasts, Printed media, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, Investigative news",,"Corruption, Education & Schools, Health & Medicine, Politics, Social Justice & Inequality",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Reader membership, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"I don’t sell any advertising products.",,"We’ve brought national attention to a number of local issues and had an impact on many state legislative issues.","The Tennessee Holler is an audience-supported progressive news site with a series of active social media feeds that seeks to amplify voices throughout Tennessee and YELL THE TRUTH about what’s really happening in our state: @TheTNHoller, @MemphisHoller, @KnoxvilleHoller with more to follow."
"The Tyee",,https://thetyee.ca,"Eric Peterson, Christina Munck",No,Vancouver,BC,Canada,English,,LLC,LLC,2003,11-15,61-70,11-20,0-10,0-10,"Events, Newsletters, Originally-reported articles",,"Social media, Website",,State/Province,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Education & Schools, Environment, Health & Medicine, Politics, Social Justice & Inequality",,"Low-income communities, People of color",,"Major individual gifts, Reader membership",,,"Major individual gifts",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"Here's our impact report from 2019: https://thetyee.ca/Documents/2019/11/29/Tyee-2019-Year-Review-final.pdf","What is The Tyee?
We’re an independent, online news magazine from B.C. founded in 2003. We’re devoted to fact-driven stories, reporting and analysis that informs and enlivens our democratic conversation. Our reporting has changed laws, started movements and garnered numerous awards."
"This Is Reno",,https://thisisreno.com,"Bob Conrad",No,Reno,NV,"United States",English,,LLC,LLC,2009,1,61-70,11-20,21-30,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,"City/Town, State/Province","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Education & Schools, Entertainment & Arts, Environment, Energy, Events in coverage area, Food, Gender Identity, Government, Health & Medicine, Immigration, Planning & Development, Politics, Race & Ethnicity, Religion, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising, Reader membership, Reader subscriptions, Foundation funding, Small individual gifts, Events",,,"Direct sold advertising",,"Hybrid model (some free content, separate premium tier)",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,,"This Is Reno is your source for daily Reno news and events for Reno, Sparks, the Truckee Meadows and beyond. We were founded in 2009 and are locally owned and operated."
"Treasure Coast News",,https://treasurecoast.tv,"Isaac Cubillos",No,"Port St Lucie",FL,"United States",English,,LLC,LLC,2019,2,11-20,61-70,21-30,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Digital marketing services",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Single-subject news, Hyperlocal community comings and goings",,"Crime & Justice, Entertainment & Arts, Events in coverage area, Food",,"Ethnic communities, Immigrant communities, People of color",,"Direct sold advertising, Programmatic advertising, Haven’t generated revenue yet, but intend to do so",,,"Haven’t generated revenue yet, but intend to do so",,"I don't have a paywall",,"Display, Content Sponsorship, Video",,,"TCN provides breaking news video/stories/images from Saint Lucie and Martin counties of Florida."
"Tube City Almanac",,https://almanac.tubecityonline.com,"Tube City Community Media Inc.",No,McKeesport,PA,"United States",English,,"Sole Proprietor/no specific tax status","Nonprofit 501c(3) or Canadian nonprofit",1996,0,71-80,0-10,11-20,0-10,"Originally-reported articles, Podcasts, Radio",,"Owned and operated mobile app(s), Radio, Social media, Website",,"Neighborhood(s), City/Town","Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Events in coverage area, Government, Planning & Development",,"Low-income communities, People of color",,"Direct sold advertising, Foundation funding, Major individual gifts, Philanthropic funding from major institutions",,,"Foundation funding",,,,"Display, Video",,,"Tube City Online is an independent, non-profit source of news, tourism information, data, commentary and ""witty""* remarks about events in and around McKeesport, Allegheny County's second-largest city and the heart of America's historic Steel Valley. (* -- So, would you believe half-witty?)"
"Universal Hub",,https://universalhub.com,"Adam Gaffin",Yes,Boston,MA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2005,1,81-90,0-10,0-10,0-10,"Originally-reported articles, Social media-only content",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, In-depth feature and explanatory reporting, Single-subject news",,"Crime & Justice, Government, Planning & Development, Politics, Transportation",,"Ethnic communities, Low-income communities, People of color",,"Programmatic advertising, Reader membership, Small individual gifts",,,"Programmatic advertising",,,,"Content Sponsorship, Display",,"Boston is a strong MSM market, but it tends to miss neighborhood-specific news, from approvals of new buildings and restaurants to non-murder crime news; this is the niche I fill.","Universal Hub, started in 2005, is a community news and information site for the Boston area based on the idea that residents can help keep themselves informed. Combining reports from a pool of hundreds of local bloggers, photographers and tweeters, Universal Hub posts daily news and links, often before the mainstream media, and gives local folks a place to discuss the day's events - and to post news on their own."
"Unpretentious Palate",,https://UnpretentiousPalate.com,"Kristen Wile",Yes,Charlotte,NC,"United States",English,,LLC,LLC,2018,1,31-40,0-10,21-30,0-10,"Events, Newsletters, Originally-reported articles",,"Social media, Website",,City/Town,"In-depth feature and explanatory reporting, Single-subject news",,Food,,"People of color",,"Events, Reader membership",,,"Reader membership",,"Hard paywall (all content behind a gate)",,"I don’t sell any advertising products.",,,"Welcome to Unpretentious Palate, a digital publication covering food and drink based in Charlotte, North Carolina. We’re so thankful you’re reading this, because that means like us, you’ve been seeking consistent food and drink coverage you can trust. Sure, there are options out there. But good food coverage takes experience, and is expensive. Some publications can’t afford it; others let paychecks or page views determine what places get good coverage. Neither benefits the reader — so we’re doing things differently."
"Vero Communiqué",,https://verocommunique.com,"Thomas Tenney Hardy",Yes,"Vero Beach",FL,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2014,0,0-10,0-10,0-10,0-10,"Originally-reported articles",,"Website, Social media",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Single-subject news, Investigative news, In-depth feature and explanatory reporting",,"Corruption, Education & Schools, Environment, Gender Identity, Government, Health & Medicine, Politics, Social Justice & Inequality",,"LGBTQI communities, People of color",,,,,,,,,"I don’t sell any advertising products.",,"We provide in-depth reporting on issues not covered by other media outlets.","Vero Communiqué has emerged as a leader in regional journalism.  We provide in-depth knowledge and insight on important issues facing Vero Beach, Indian River County; as well as National and International issues that affect our area."
Vngle,,https://vngle.com,"Blake Stoner",No,,,"United States",English,,LLC,LLC,2016,3-5,31-40,11-20,21-30,0-10,"Originally-reported articles, Video, Newsletters, Social media-only content",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Events in coverage area, Politics, Race & Ethnicity, Social Justice & Inequality, Culture",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Small individual gifts",,,"Programmatic advertising",,"I don't have a paywall",,"Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Our goal is to address news deserts and report on the underrepresented.","Vngle is a decentralized grassroots news network bringing coverage to underreported parts of society. We address news deserts, areas that get limited to no news coverage, by capturing human-interests stories that go underrepresented."
"Washington City Paper",,https://washingtoncitypaper.com,"Mark Ein",No,Washington,DC,"United States",English,,LLC,LLC,1981,"21 or more",41-50,31-40,11-20,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Printed media",,"Social media, Website",,"Neighborhood(s), City/Town, State/Province","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Entertainment & Arts, Events in coverage area, Food, Government, Sports & Recreation",,"Low-income communities, People of color",,"Direct sold advertising, Events, Other forms of corporate sponsorship, Philanthropic funding from major institutions",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"We reach an audience of nearly half a million unique readers monthly and also distribute 48,000 free weekly newspapers to 1,100 distribution points throughout the metropolitan area. In particular, we are proud to be a freely accessible local newspaper with strong distribution throughout Wards 7 and 8—two historically underrepresented, black-majority, and poorer areas of the city. Our mandate is to be a free and local news resource for all of D.C.’s residents, from longtime residents and newcomers, to low-income and wealthy residents, and everyone in between and everyone who fits into none of these boxes.","Member-supported community newspaper, with reporting on local culture, food, arts, sports, and politics."
We-Ha.com,,https://We-Ha.com,"Kaushik Makati; Robert Carr; Tom Hickey; Joy Taylor, Kaushik Makati, Ronnie Newton, Bob Carr",Yes,"South Glastonbury",CT,"United States",English,,LLC,LLC,2014,1,41-50,0-10,21-30,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Events",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms, Syndicated feed or content partnerships",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Education & Schools, Government, Sports & Recreation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We are highly-regarded as the authoritative news source for everything happening in the town that we cover. The site is mentioned by politicians, business organizations, schools, and others as THE place to get accurate and thorough news about what is happening in West Hartford, CT.","We-Ha.com is a hyperlocal online site where people can find accurate information they  need and want about our town, its schools, businesses, real estate, sports, restaurants, charitable events, arts, and more, and where advertisers will connect with their target audience to maximize results."
YourArlington.com,,https://yourarlington.com,"Bob Sprague",Yes,Arlington,MA,"United States",English,,LLC,LLC,2006,1,31-40,0-10,21-30,0-10,"Newsletters, Originally-reported articles",,"Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Crime & Justice, Education & Schools, Entertainment & Arts, Environment, Government",,"Immigrant communities, LGBTQI communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"My site has become the main source of news and opinion in Arlingto, MA. The public relies on its accurate reports and thoughtful opinions., Since 2006, YourArlington has been the go-to site for town news and opinion.","YourArlington.com began as an experiment in community journalism dedicated to reporting news about Arlington, Mass., and the Arlington-related views of its residents. The experiment continues, but it is not unique -- it is part of a nationwide movement called ""citizen journalism."" The phrase gained currency through We the Media, a 2004 book by Dan Gillmor. This kind of journalism encourages members of a community to write about that community. The writing may be reporting, or it may be opinion."
"¿Qué Pasa, Midwest?",,https://quepasapodcast.com,"WNIN, Tri-State Public Media",No,Evansville,IN,"United States","Bilingual (Spanish & English)",,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2016,2,71-80,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Website",,Multi-state/Multi-province,"In-depth feature and explanatory reporting","Bilingual journalism","Entertainment & Arts, Government, Health & Medicine, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, People of color",,"Major individual gifts, Other forms of corporate sponsorship, Philanthropic funding from major institutions, Small individual gifts",,,"Other forms of corporate sponsorship",,,,"Content Sponsorship",,"¿QPM? has raised the profile and need for authentic bilingual reporting for a population seeking its rightful place in the national discussion.","¿Qué Pasa, Midwest? is a bilingual podcast that creates a sense of community for Midwestern Latinx who are missing an essential piece of their cultural identity."
